BLA,BLP,LU,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,SBLU,SLR
245954.0976,2136.59703,R,27.0,11,0.189188744786336,0.031700073615688,0,0.0,19.90909090909091,0.0,708.7966363636364,0.005767382401944,0.181818181816529,0.0,0.943101702667982,R,"secondary, tertiary"
51907.2998,922.70988,R,60.0,19,0.838597618595448,0.175649706980135,1,60.0,18.967105263157894,0.0,479.8685263157895,0.08667821685629,0.578947368418006,1.0,0.913415867792125,R,"secondary, tertiary"
34744.65847,731.96255,R,18.0,6,0.94047952804643,0.188095905609286,0,0.0,18.0,0.0,1089.2213333333332,0.037663695888919,0.833333333319444,0.0,0.804942973408559,"B, R","secondary, tertiary"
42645.45745,807.33803,R,18.0,10,0.841314694350875,0.168262938870175,0,0.0,18.0,0.0,717.5649999999999,0.095448516047702,0.599999999994,0.0,0.696644679550776,"B, R","secondary, tertiary"
151525.5532,1568.12394,R,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606186723521452,"A, R","secondary, tertiary"
73136.2673,1086.39843,B,18.0,7,1.030884372191633,0.206176874438327,0,0.0,18.0,0.0,2154.143857142857,0.035718285558677,0.571428571420408,0.0,0.719808861030823,"B, R","secondary, tertiary"
68042.45185,1060.59145,R,18.0,13,0.974765579379985,0.194953115875997,0,0.0,18.0,0.0,1020.3913846153846,0.13025772696315,0.384615384612426,0.0,0.558039144723245,"B, R","secondary, tertiary"
163488.2608,1658.63407,B,45.0,12,1.386893645393774,0.181086145605385,0,0.0,30.431833333333334,0.0,2467.1215833333335,0.011754451414791,0.083333333332639,0.0,0.63041998602244,"B, R","primary, secondary, tertiary"
85970.69508,1162.17435,B,200.0,3,1.750145207736059,0.131929292760116,1,200.0,78.41666666666667,0.0,3780.684333333333,0.001359021963177,0.333333333322222,1.0,0.712904892821735,B,secondary
186369.924,1760.95162,R,27.0,54,0.45983422196384,0.107668794241715,0,0.0,15.091666666666667,0.0,371.5967592592592,0.049524574834994,0.314814814814232,0.0,0.541210028038241,"B, R","primary, secondary, tertiary"
70435.61982,1064.22351,R,18.0,11,0.585977877464215,0.117195575492843,0,0.0,18.0,0.0,750.4311818181818,0.089965886235536,0.545454545449587,0.0,0.548739876359257,"B, R","secondary, tertiary"
76352.72407,1134.47165,B,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388016205951086,"B, R","primary, tertiary"
87805.51333,1176.0822,B,200.0,10,3.226526288107289,0.165504755326507,4,171.0,80.4,50.22947341949744,1453.223,0.024210157910401,0.199999999998,0.25,0.562951541244926,"B, R","secondary, tertiary"
66465.40007,1033.92013,B,60.0,4,2.827441492898247,0.192932202115608,3,60.0,49.5,0.0,3205.8289999999997,0.183820721168075,0.4999999999875,0.666666666666667,0.310147446699434,"B, R","primary, secondary, tertiary"
139311.1514,1519.29976,A,18.0,2,0.202287115688859,0.049069144367146,0,0.0,15.0,0.0,3417.9395,0.026377809436852,0.499999999975,0.0,0.450702816754349,"A, B, R","secondary, tertiary"
134394.3014,1676.22019,R,18.0,24,0.600058627188191,0.120011725437638,0,0.0,18.0,0.0,672.0371666666666,0.069872810008015,0.499999999997917,0.0,0.340537078501502,"A, R","secondary, tertiary"
56818.45273,944.37842,R,36.0,6,1.078312063356323,0.195806863183478,0,0.0,24.0,0.0,1854.2404999999999,0.064575048449288,0.499999999991667,0.0,0.241136419454514,"B, R","secondary, tertiary"
118618.2527,1404.67233,B,18.0,3,0.03536029999201,0.009528626280296,0,0.0,15.0,0.0,376.7563333333333,0.019377677425812,0.666666666644444,0.0,0.217833591661443,"B, R","primary, secondary, tertiary"
156034.0112,1746.40151,R,56.0,25,0.965536461194301,0.144494958673472,2,55.0,23.52884,1.0,901.8451200000001,0.087519226503844,0.43999999999824,0.5,0.331897629864328,"B, R","primary, secondary, tertiary"
66788.83983,1039.36646,R,18.0,4,1.406523084382195,0.281304616876439,0,0.0,18.0,0.0,4697.00225,0.010787315873718,0.24999999999375,0.0,0.293797043728526,R,"secondary, tertiary"
56920.93497,947.78051,R,18.0,9,0.818250087152425,0.163650017430485,0,0.0,18.0,0.0,1035.0124444444446,0.034321621240409,0.666666666659259,0.0,0.173714185122821,"B, R","secondary, tertiary"
53975.8278,911.97469,B,11.0,1,0.703713394461363,0.234571131487121,0,0.0,11.0,0.0,12661.171,0.075404023537544,0.9999999999,0.0,0.168026993509618,"B, R","primary, secondary, tertiary"
69695.87589,1051.47253,R,20.25,10,0.883391810688671,0.180477178016279,0,0.0,17.925,0.0,1257.8515,0.162557402588627,0.599999999994,0.0,0.199980208023198,R,"secondary, tertiary"
59410.35831,964.5239,R,18.0,13,1.23587455266435,0.24717491053287,0,0.0,18.0,0.0,1129.5961538461538,0.087734541990355,0.307692307689941,0.0,0.125197303395985,"A, B, R","secondary, tertiary"
196924.8304,1868.3474,B,326.0,19,1.836661457396385,0.204708349465716,2,263.0,43.78947368421053,63.0,2121.6924736842107,0.077391400532919,0.315789473682549,1.0,0.348002313542017,"B, R","primary, secondary, tertiary"
