model,k2,bic,bdeu,bds
model_cus,-14438.370677734963,-78640.35432243872,-15970.962521843248,-33342.75001819212
model_ML,-15181.699991564445,-175573.6485640295,-18322.936839373302,-34099.15121526444
model_IndTest_modified,-13495.929253915885,-64274.08662804219,-14320.577988259269,-18956.961575690268
model_Exp_modified,-15420.198364984202,-597393.1035049143,-16618.74400386109,-238056.97049972546
