BLA,BLP,LU,BL,SBLU,SLR
1668.184,355.429,G,0.167226032805418,"G, R","primary, tertiary"
17366.507,524.665,R,0.311454666852551,"A, E, G, R",tertiary
13245.871,464.595,A,0.333514400534264,"A, B, G",tertiary
2879.856,250.804,E,0.110333152559405,"B, E, G","primary, secondary, tertiary"
448.283,193.434,G,0.116168663106963,"A, E, G","primary, secondary, tertiary"
612.046,256.489,G,0.571768580364949,"E, G","primary, secondary, tertiary"
2540.194,293.998,E,0.561894342919644,"E, G","primary, secondary, tertiary"
13361.757,490.864,R,0.340577412814627,"A, B, G, R","primary, tertiary"
21154.854,590.414,A,0.219641124227488,"A, G, R","primary, tertiary"
12147.159,438.397,R,0.067784872451602,"B, R","primary, tertiary"
14441.681,477.716,B,0.002749833176178,"B, G","secondary, tertiary"
10284.688,398.324,B,0.131913884344442,"B, G","secondary, tertiary"
7343.81,350.768,B,0.047671934369466,"B, E, G","secondary, tertiary"
1095.049,239.247,G,0.060062677461778,"B, E, G","secondary, tertiary"
12282.929,438.436,B,0.0,"B, G","primary, tertiary"
8457.905,364.811,B,0.291369067882501,"B, G, R","primary, tertiary"
10622.351,408.208,A,0.114507271861945,"B, G","secondary, tertiary"
7918.985,350.737,B,0.34063224924261,"B, G","primary, secondary, tertiary"
8038.928,365.072,G,0.091382321407875,"B, R",tertiary
17789.73,534.015,R,0.237325591922654,"A, R","primary, secondary, tertiary"
13341.477,454.368,B,0.106895353145304,B,"primary, tertiary"
14608.5,493.944,B,0.384797924685882,"B, G","secondary, tertiary"
27770.652,651.59,A,0.701749235855144,"B, E, U",tertiary
15207.442,493.066,R,0.328967898859004,"A, E, G","primary, tertiary"
2030.26,243.552,E,0.410888020846193,"E, G","primary, tertiary"
1017.222,223.657,G,0.399641757869913,"E, G",tertiary
12536.322,450.342,B,0.35227368659138,"E, G",tertiary
20743.555,660.599,B,0.205377811168285,"E, G, R","primary, tertiary"
646.32,150.147,G,0.238966354095484,"E, G, R",tertiary
5443.56,305.263,A,0.485353604229134,"A, R",tertiary
11191.56,435.593,A,0.418914173935769,"A, G, R",tertiary
23196.684,656.576,B,0.479456861090712,"A, B, G","primary, tertiary"
1036.778,226.672,G,0.579175930750067,"B, G","primary, tertiary"
1058.039,231.838,G,0.076257466964233,"B, E, G","secondary, tertiary"
2305.601,269.67,E,0.486502398133116,"B, E, G","primary, secondary, tertiary"
1145.018,249.298,G,0.475366210878757,"B, E, G","secondary, tertiary"
16170.319,510.67,B,0.421208056174955,"A, B, E, G, R","secondary, tertiary"
373.795,151.717,G,0.637455655591398,"E, G","primary, secondary, tertiary"
1447.864,186.174,E,0.629524608097032,"E, G","primary, secondary, tertiary"
12144.212,474.243,G,0.572915966018135,"E, G, R","secondary, tertiary"
11655.914,451.756,A,0.372557934037561,"A, B, G, R","secondary, tertiary"
2710.148,238.55,A,0.328518521286572,"A, B, R","secondary, tertiary"
13075.366,497.175,G,0.475940113965699,"E, G, R","secondary, tertiary"
13466.488,460.04,B,0.040828387692705,"B, R","primary, secondary, tertiary"
9247.963,377.251,G,0.159119985677323,B,"primary, secondary, tertiary"
6729.646,332.502,B,0.059355119331967,"B, E, G","primary, tertiary"
14299.822,475.564,G,0.000330774089034,B,tertiary
5450.855,294.938,A,0.527622463126285,"G, R",tertiary
6727.14,1072.256,G,0.183869925467025,"E, G, R","primary, secondary, tertiary"
5453.554,423.112,E,0.19803580169212,"E, G, R","secondary, tertiary"
888.746,367.293,G,0.203875813427243,"E, G, R","secondary, tertiary"
9816.573,388.686,B,0.125047245721689,"A, B","primary, secondary, tertiary"
10014.819,397.568,B,0.257856986482714,"B, G","secondary, tertiary"
9390.457,383.062,B,0.269252103523279,"B, G","primary, tertiary"
18270.493,537.953,B,0.05923383427971,"B, G","primary, tertiary"
8794.01,374.221,R,0.158895839617728,"B, G, R","primary, secondary, tertiary"
11774.661,438.641,A,0.227706065276518,"A, R","secondary, tertiary"
2894.577,250.884,A,0.27438925563529,"A, G, R",tertiary
5751.361,308.84,B,0.148134297900273,"B, G","primary, secondary, tertiary"
18488.558,571.686,B,0.181114462514438,"B, G","secondary, tertiary"
10914.95,444.735,R,0.250995899078479,"A, G","secondary, tertiary"
14362.93,484.103,B,0.427388017425939,"B, E, G","secondary, tertiary"
1487.774,317.815,G,0.408862392213265,"E, G, R",tertiary
4463.579,358.545,E,0.415414741364476,"E, G, R",tertiary
2114.271,323.11,G,0.422676014753018,"E, G, R",tertiary
26127.805,647.615,B,0.382944451639425,"E, G, R","primary, tertiary"
11567.177,429.878,G,0.650429039325694,"B, E, G, U","secondary, tertiary"
1234.24,285.986,G,0.553543993344482,"B, E, G","secondary, tertiary"
4305.773,333.097,E,0.568116084258291,"B, E, G, U","secondary, tertiary"
1436.457,361.429,G,0.732871033588899,"B, E, G","secondary, tertiary"
5590.52,414.286,E,0.745036313065255,"B, E, G","secondary, tertiary"
45527.553,861.963,G,0.836807945037726,"E, G","secondary, tertiary"
1522.541,324.237,G,0.551635282197962,"G, R","primary, secondary, tertiary"
32742.938,726.791,B,0.463374164878794,"E, G, R","primary, secondary, tertiary"
34676.137,790.171,A,0.649710530491672,"A, G, R","primary, tertiary"
2911.999,601.71,G,0.708371777845675,"A, G","primary, tertiary"
16293.435,518.601,R,0.607746869655503,"A, G, R",tertiary
2348.075,490.158,G,0.40115770361412,"E, G",tertiary
7333.874,603.204,E,0.412664862426751,"E, G","primary, secondary, tertiary"
4082.272,672.462,G,0.447190423523301,"E, G","primary, secondary, tertiary"
8778.403,404.383,B,0.379662439062043,"E, G",tertiary
2742.066,313.63,E,0.370766998668223,"E, G","primary, tertiary"
23316.828,622.198,G,0.301302297093059,"A, E, G, R","primary, tertiary"
24226.115,679.137,R,0.459575276842735,"G, R","primary, tertiary"
961.991,212.628,G,0.103330506864221,"B, E, G","primary, tertiary"
30246.826,719.017,A,0.151394699246097,"A, B, G","primary, secondary, tertiary"
11045.519,420.667,B,0.113134699787243,"A, B, G","secondary, tertiary"
556.639,234.347,G,0.495140601120113,"B, E, G","primary, secondary, tertiary"
1287.45,277.811,G,0.551099377843807,"E, G","secondary, tertiary"
21428.654,584.27,R,0.495348023311217,"A, B, E, G, R","secondary, tertiary"
2388.83,194.426,B,0.35909488325077,"A, B, G","secondary, tertiary"
15576.194,551.125,B,0.303729913752735,"A, B, G, R","secondary, tertiary"
14129.179,475.501,A,0.223039922396114,"A, G, R",tertiary
6069.12,310.815,A,0.174501975046025,"A, G, R",tertiary
3728.433,248.098,A,0.170306398338453,"A, G, R",tertiary
5661.993,306.198,R,0.241050210757234,"A, B, R","secondary, tertiary"
10152.856,398.585,R,0.206784319765835,R,"primary, secondary, tertiary"
10600.25,405.291,B,0.112799731988459,"B, G","primary, tertiary"
11467.202,420.76,B,0.068500142318946,"A, B","primary, secondary, tertiary"
42442.123,828.093,B,0.200953405625214,"B, E, G, R","primary, secondary, tertiary"
10999.381,412.142,B,0.032377259258232,"B, G","primary, tertiary"
15399.675,492.247,B,0.041156351608051,"B, G","primary, tertiary"
13144.551,451.384,G,0.184044329323067,"A, B","secondary, tertiary"
15399.722,492.248,R,0.136084965447172,"B, G, R","secondary, tertiary"
20958.971,576.575,R,0.22935593741925,"A, R","secondary, tertiary"
12349.633,432.029,B,0.41977642918601,"B, G","secondary, tertiary"
938.171,212.668,G,0.492425636477563,"B, E, G","secondary, tertiary"
3133.289,259.965,E,0.507538182807954,"B, E, G, U","secondary, tertiary"
16359.985,1023.815,G,0.695973309070723,"G, U",secondary
9374.757,442.169,G,0.585195023654384,"G, R","primary, tertiary"
1058.75,231.458,G,0.636346113121887,G,"primary, tertiary"
19976.523,562.999,R,0.128308618938212,"A, G","primary, tertiary"
13951.986,470.288,B,0.020303089424111,"B, R","secondary, tertiary"
11023.388,412.684,B,0.086043459399048,"B, G","primary, secondary, tertiary"
7128.075,343.977,B,0.063918063023068,"B, E, G","secondary, tertiary"
36632.846,762.542,R,0.264964029098798,"B, E, G","secondary, tertiary"
